timestamp,station,latitude,longitude,hs_m,tp_s
2026-08-01 00:00,Honiara Wave Buoy,-9.45,159.96,0.92,6.8
2026-08-01 03:00,Honiara Wave Buoy,-9.45,159.96,0.88,6.6
2026-08-01 06:00,Honiara Wave Buoy,-9.45,159.96,0.95,7.0
2026-08-01 09:00,Honiara Wave Buoy,-9.45,159.96,1.05,7.2
2026-08-01 12:00,Honiara Wave Buoy,-9.45,159.96,1.18,7.4
2026-08-01 15:00,Honiara Wave Buoy,-9.45,159.96,1.24,7.6
2026-08-01 18:00,Honiara Wave Buoy,-9.45,159.96,1.12,7.3
2026-08-01 21:00,Honiara Wave Buoy,-9.45,159.96,0.98,7.0
2026-08-02 00:00,Honiara Wave Buoy,-9.45,159.96,0.90,6.8
2026-08-02 03:00,Honiara Wave Buoy,-9.45,159.96,,6.7
2026-08-02 06:00,Honiara Wave Buoy,-9.45,159.96,0.94,6.9
2026-08-02 09:00,Honiara Wave Buoy,-9.45,159.96,1.08,7.1
2026-08-02 12:00,Honiara Wave Buoy,-9.45,159.96,1.22,7.5
2026-08-02 15:00,Honiara Wave Buoy,-9.45,159.96,1.31,7.8
2026-08-02 18:00,Honiara Wave Buoy,-9.45,159.96,1.20,7.5
2026-08-02 21:00,Honiara Wave Buoy,-9.45,159.96,1.06,7.2
2026-08-03 00:00,Honiara Wave Buoy,-9.45,159.96,1.15,9.4
2026-08-03 03:00,Honiara Wave Buoy,-9.45,159.96,1.42,11.1
2026-08-03 06:00,Honiara Wave Buoy,-9.45,159.96,1.68,12.0
2026-08-03 09:00,Honiara Wave Buoy,-9.45,159.96,1.85,12.5
2026-08-03 12:00,Honiara Wave Buoy,-9.45,159.96,2.04,12.8
2026-08-03 15:00,Honiara Wave Buoy,-9.45,159.96,2.18,13.0
2026-08-03 18:00,Honiara Wave Buoy,-9.45,159.96,99.9,13.1
2026-08-03 21:00,Honiara Wave Buoy,-9.45,159.96,2.21,12.9
2026-08-04 00:00,Honiara Wave Buoy,-9.45,159.96,2.10,12.6
2026-08-04 03:00,Honiara Wave Buoy,-9.45,159.96,1.96,12.3
2026-08-04 06:00,Honiara Wave Buoy,-9.45,159.96,1.82,11.9
2026-08-04 09:00,Honiara Wave Buoy,-9.45,159.96,1.70,11.5
2026-08-04 12:00,Honiara Wave Buoy,-9.45,159.96,1.58,11.0
2026-08-04 15:00,Honiara Wave Buoy,-9.45,159.96,1.49,10.6
2026-08-04 18:00,Honiara Wave Buoy,-9.45,159.96,1.38,10.1
2026-08-04 21:00,Honiara Wave Buoy,-9.45,159.96,1.26,9.5
2026-08-05 00:00,Honiara Wave Buoy,-9.45,159.96,1.14,8.8
2026-08-05 03:00,Honiara Wave Buoy,-9.45,159.96,1.05,8.2
2026-08-05 06:00,Honiara Wave Buoy,-9.45,159.96,0.99,7.7
2026-08-05 09:00,Honiara Wave Buoy,-9.45,159.96,1.02,7.4
2026-08-05 12:00,Honiara Wave Buoy,-9.45,159.96,1.12,7.3
2026-08-05 15:00,Honiara Wave Buoy,-9.45,159.96,1.19,7.5
2026-08-05 18:00,Honiara Wave Buoy,-9.45,159.96,1.08,7.2
2026-08-05 21:00,Honiara Wave Buoy,-9.45,159.96,0.94,6.9
